Pelicula_id,Nombre,Director,Guionista,Argumento,Duración,Puntuación_IMDb,Puntuación_Rotten
tt14998762,Gary Screams for You,Cody McGlashan,"Cody Mc, Glashan",A campus security guard discovers his wildest side when his obsession with a viral video prompts some very unruly behavior.,15,7.6,Null
tt10704730,"Prvok, Sampon, Tecka a Karel",Patrik Hartl,Patrik Hartl,Four friends battle their midlife crisis by completing several challenges.,118,6.4,Null
tt3236976,Submerged,Steven C. Miller,Scott Milam,Un grupo de amigos se convierte en objeto de venganza de secuestradores y debe hacer todo lo posible para sobrevivir dentro de su limusina que cayó al agua.,99,4.1," 24"
tt13061874,Work,Aoife Williamson,Aoife Williamson,"We follow Lilith, a musician and escort, on a day when her two worlds collide",No encontrado,No encontrado,Null
tt12385404,Me and the Boys,Andrew Siaterlis,"Shane Hansen, Andrew Siaterlis, Joseph Watson",,No encontrado,No encontrado," 44"
tt12605454,Something Borrowed,Danny Donnelly,Aimee Theresa,"Three friends go to the shore for a girls weekend, but when a fun idea goes awry, chaos ensues.",No encontrado,No encontrado,Null
tt10493472,Ammonium Nitrate,Onur Aksinoglu,James Gleave,"Jesse James Price has a passion for chemistry, this leads him to become the proprietor of a schoolyard explosives factory. One of his customers Brittney, is being harassed by a local boy she purchases a chemical cocktail from Jesse hoping to scare the harasser away. Jesse sets fire to his school, and this pushes his already strained relationship with his foster parent... Leer todo",No encontrado,No encontrado,Null
tt1232828,Mercy for Angels,K.C. Amos,"K.C. Amos, Alonzo Douglas","Runaway Tracy is snatched from a dangerous L.A. neighborhood by sadistic thugs while searching for her homeless boyfriend. Her police detective mom races against time to rescue Tracy from the big money, high crime world of sex trafficking.",91,5.5,Null
tt10365862,Alba,Senie Priti,Senie Priti,"The fragile relationship between a father and daughter is tested, when an unexpected call jeopardizes their time together.",No encontrado,No encontrado,Null
tt11924222,Naakidhe First Time,No encontrado,No encontrado,Nakide First Time is a romantic movie directed by Ramreddy Musky. The movie casts Dhanush Babu and Sindura Rout are playing the main lead role.,No encontrado,No encontrado," 67"
tt27042672,"Forever, My Lover",Johnny Chang,Johnny Chang,No encontrado,No encontrado,No encontrado,Null
tt1650461,WebSiteStory,Dan Chisu,Dan Chisu,"In a world where any teenager can film with his own mobile phone and post all kinds of things on the Internet, Laura, an 18-year-old girl, spends a night in a club with her friend Mira.",82,6.0,Null
tt10069486,Journey,Panji Kaonga,Stephen Maddox,"When life couldn't get any worse, Jack finds he is flying from Glasgow and not Gatwick. Attempting to catch a last minute train from London he is confronted with where he is at in life by passengers he doesn't want to be sat with.",11,No encontrado,Null
tt19383308,Byt,Aleksandr Kovtunets,"Aleksandr Kovtunets, Pavel Voronin","A popular blogger and aspiring rap artist, Ilya, has a severe conflict with his father, thinks only of himself and does not want to have children. Unexpectedly, he finds himself in the past, even before his birth, and meets his young parents.",114,4.1,Null
tt1905034,The Bad Superhero,Stephen Samson,Ted Donavan,The Bad Superhero is a short comedy about the worlds worst superhero.,5,8.5,Null
tt13073642,Up to Here,Elizabeth Whitmere,Elizabeth Whitmere,"Desperate for alone time, a woman escapes to a meditative retreat in her mind, but finds it's not as isolated as she'd hoped.",7,No encontrado," 57"
tt14060232,Tormenta infinita,Malgorzata SzumowskaMichal Englert,"Joshua Rollins, Pam Bales","Cuando una escaladora queda atrapada en una tormenta de nieve, encuentra un extraño corriendo el mismo peligro y ahora debe luchar por ambos para ir montaña abajo antes del anochecer.",97,5.2," 56"
tt13099072,Vardhana,Nagendra Urs,No encontrado,Harsha Tries To Impress Kavya And Get Married To Her As His Mom Would Have Asked Him To Marry Her. But Kavya Wants To Love And Marry Don. Harsha Lies Saying He Is Also A Don Known As Forget Harsha And Is Involved In Underworld Activities. Harsha Along With His Friend Chikka's Help Created Scenarios In Front Of Kavya To Prove He Is A Don. Cops Will Arrest Harsha When H... Leer todo,130,No encontrado,Null
tt3325766,À Propos du Code,J.P. Fortin,J.P. Fortin,Two students are apprehended following the enforcement of a college take over by three overly zealous school inspectors.,73,1.7,Null
tt11928632,Overdue Newsies,Jon Fossler,"Enid Aramburu, Andrew Fossler, Jon Fossler",No encontrado,92,No encontrado,Null
tt10716904,Mind Games,Maria McIndoo,Tina Alexis Allen,,No encontrado,No encontrado,Null
tt13667552,Kamen Raidâ Zerowan Azâzu Kamen Raidâ Metsuboujinrai,Masaya Kakehi,Yuya Takahashi,"Zaia Enterprise CEO Lyon Arkland seeks to weaponize all Humagears by transforming them into his mechanical soldiers known as ""Soldos"". For the sake of Humagear free will, Metsubojinrai.net will not allow this to happen.",49,7.1,Null
tt10218912,As I Am,Anthony Bawn,Anthony Bawn,A story of a young man running from the truth about his childhood returns in order to correct his past but ends up discovering a side of himself that he suppressed.,62,4.6," 50"
tt2381249,Misión: Imposible - Nación secreta,Christopher McQuarrie,"Bruce Geller, Christopher Mc, Quarrie, Drew Pearce","Ethan y su equipo asumen su misión más imposible hasta la fecha, erradicar al Sindicato, una organización internacional clandestina tan altamente cualificada como ellos, comprometida con la destrucción del FMI.",131,7.4," 94"
tt10044678,The Eye,Qiuyu Chen,Qiuyu Chen,,15,No encontrado," 22"
tt14247286,4 mitades,Alessio Maria Federici,Martino Coli,"En esta comedia romántica, las historias paralelas de cuatro amigos solteros que son emparejados en combinaciones diferentes desafían el concepto de las almas gemelas.",105,6.3," 37"
tt13067244,Stuck in the Cycle,Donnie Pierre,"Samantha Hallenus, Christopher Siaens",No encontrado,No encontrado,No encontrado," 67"
tt15021154,Exodus,Abbe Hassan,"Kristoffer Cras, Abbe Hassan",A professional smuggler tries to save a 12-year-old girl whose family has gone missing in the Syrian war.,102,6.8," 31"
tt1590796,Sentô shôjo: Chi no tekkamen densetsu,Noboru Iguchi,"Noboru Iguchi, Jun Tsugita","After a high-school girl discovers that she descends from a long line of mutants, she joins other mutants to battle anti-mutants. Ordinary humans that can't run fast get caught in the slaughter.",89,5.6," 38"
tt10681656,Chlap na strídacku,Petr Zahrádka,"Alexandra Leclère, Petr Zahrádka","Happily married for fifteen years, Zuzana finds out one day that her husband has been having an affair with another woman for a long time. Zuzana does not hesitate and decides to visit her daughter-in-law Lenka and make her a slightly unconventional proposal. Her plan is scandalous. She suggests that she share the care of Jirka and turn him into a man for a change. Le... Leer todo",No encontrado,4.6," 89"
tt1649783,"Second World: Blood, Fire and Smoke",Otis Lowe,Otis Lowe,"Taking place four years after the events of Second World; Blood, Fire and Smoke follows the estranged McCann siblings and a team of spiritually gifted individuals pieced together from the relatives of those claimed in the spiritual war, as they try to stop a new threat to mankind.",140,5.8,Null
tt10022482,Deluge,Cloudy Rhodes,Llewellyn Michael Bates,Three spirited women usurp a religious community.,11,6.2," 90"
tt1801128,Xtraction,Marco Alejandro Santiago,Marco Alejandro Santiago,"Set in Afghanistan, Mexico and the Arizona suburbs, Xtraction tells the story of Ronnie, a hardened ex-military contractor on a private mission to rescue her abducted daughter from the hands of organ traffickers. In the process she emotionally reconnects with the ones she loves.",13,6.9," 67"
tt3361856,Audax,Andrew St Maur,"Liam Swann, Owen Ward","A shamed ex-freighter captain takes one last shot at redemption, only to find he is a puppet for a grander scheme.",90,5.0,Null
tt1155076,The Karate Kid,Harald Zwart,"Christopher Murphey, Robert Mark Kamen","Una madre soltera tiene que mudarse a China con su hijo por trabajo. En su nuevo hogar, el niño se acoge al kung-fu bajo el tutelaje de un maestro.",140,6.2,Null
tt1548001,Smoked,Jamie DeWolf,"Jamie De, Wolf","Three stoner buddies throw a house party that ends in flames after two thugs burn the house down. Now in debt and desperate, the three concoct a half-baked plan to rob a medical marijuana club while posing as police officers. Unfortunately, this club is secretly owned by a drug kingpin who dispatches the feared Four Horseman thugs to kill them. This pursuit sends a wa... Leer todo",98,5.5,Null
tt26007064,Theo's Tears,Jeremy Shinder,Jeremy Shinder,"With his mother away for business during the week of Halloween, Theo Kingston must combat his father's outdated and flawed conceptions of masculinity alone.",No encontrado,No encontrado,Null
tt1647458,OTE,Derik Rentrop,No encontrado,"In a large number of chapters funny action-packed scenes are shown. The film basically has no plot and includes a series of stunts and gags that are backed in large part with music. In addition to snowboarding, the film also consists of many scenes of Dirtsurfer actions and various skits and thematically in chapter assembled interpretations.",102,6.7,Null
tt10151102,Liberty Equality Fraternity: Live,Peter Hiscock,Geoffrey Atherden,,No encontrado,No encontrado,Null
tt3109188,What Lola Wants,Rupert Glasson,Rupert Glasson,"Seventeen year old LOLA FRANKLIN runs away from home but allows the world to believe she has been kidnapped. Intent on making her way across country, she meets a boy (MARLO) her age in a New Mexico diner. They fall instantly in love. But when Marlo learns of the reward for Lola's safe return, he must confront his own past and decide whether to take Lola back home to c... Leer todo",81,4.9," 29"
tt27708536,No encontrada,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado," 88"
tt10411852,Freestyle v1.0,Farhad Mohsin,Shakir Hossain,,No encontrado,No encontrado,Null
tt10284978,Pirates Airsoft Team,No encontrado,No encontrado,,No encontrado,No encontrado,Null
tt14412366,Un día para morir,Wes Miller,"Rab Berry, Scott Mallace","Después de matar a un miembro de un sindicato de narcotraficantes, Connor Connolly tiene un día para pagar dos millones de dólares en reparaciones. Se ve obligado a conseguirlos de alguna manera antes de perder a todos los que ama.",105,3.5," 87"
tt10447544,Cookie,Drew Barclay,"Drew Barclay, John Bivens",,No encontrado,No encontrado," 13"
tt11257188,The Fever,No encontrado,No encontrado,"Isolda is a young woman immersed in a worn relationship with Aura, who is joined by necessity and custom, since they have been together since they were little. Isolde suffers from strange fevers and learns to be the center of everyone's attention. Aura, meanwhile, learns to care for her with her grandmother's home remedies. Over time, fever mutates and remedies are no... Leer todo",No encontrado,No encontrado," 91"
tt3687952,Nasalevtsi: Poor Against Rich,Mimo Garcia,Mimo Garcia,"A small village, which is about to be lost. Rich people only want money from Nasalevtsi. Villagers must be unite. Will they can?",28,8.6," 50"
tt1277403,Supernatural Swamp Slaughter,Caleb Michaelson,No encontrado,,No encontrado,5.1," 90"
tt1820402,Bomb Squad,Nick Chamberlin,"Holly Chamberlin, Nick Chamberlin","A group of siblings discover they have inherited Super-Powers from their imprisoned father. Questioning their fathers allegiance, they fight all odds to stay away from an evil Military General, who is bent on capturing them.",83,3.5,Null
tt10727656,Rooftops,Bruce C. Bradbury III,Bruce C. Bradbury IIIZavier Henderson,"A touring musician returns home to spend time with old friends and an old flame for a day. Just as times begin to feel right again, she has to reckon with leaving again.",No encontrado,No encontrado," 10"
tt11554404,The Game,Suranga de Alwis,"Nadeesha Samith, Aruna Shantha, Nishantha Weerasingha",An honest policeman's quest to nab a dreaded criminal.,120,6.8,Null
tt14181328,Rounding,Alex Thompson,"Alex Thompson, Christopher Thompson","A driven young medical resident transfers to a rural hospital for a fresh start. There, the demons of his past start to catch up to him when he becomes consumed by the case of a young asthma patient.",91,6.6," 71"
tt3305370,The Other Side,Akiko Izumitani,"Akiko Izumitani, Hunter Woo","An undercover detective must infiltrate an Asian gang's compound and rescue his kidnapped fiancé. However, the reality is much different than he expected.",15,7.9,Null
tt10014508,Girls Gone Camping,Lisa Crnic,"Lisa Crnic, Eirinn Disbrow","Three social media obsessed girls attempt to go camping in the desert, but things take a dark turn when their cell phones go missing and they are forced to survive without them.",7,No encontrado,Null
tt12951932,"Hello, Stranger: The Movie",Dwein Baltazar,"Daniel Saniana, Patrick John Valencia","Xavier and Mico join a writing camp, where they get to know each other more. But with their friends and other people around them twist and turn them in different directions, will they be strangers no more or strangers again?",101,7.0,Null
tt10006262,Hear a No,Lina Jalala,Lina Jalala,"After being sexually assaulted by her boyfriend's best friend, a college student is terrified that this can be turned against her if she speaks up. She has no proof and he studies law.",10,No encontrado," 89"
tt10863950,"Kamen Raidâ Jiô Next Time: Geitsu, majesutî",Satoshi Morota,Nobuhiro Mouri,"In an alternative timeline of 2018, a group of high school students is pursuing their dreams. Sougo Tokiwa wants to become a king, and Keito Myokoin wants to become the judo champion while trying to impress his crush, Alpina Tsukuyomi.",64,7.3,Null
tt10084358,Kahi Kshan Premache,Raj Mane,Raj Mane,"As the sole breadwinner of his family, a man faces the pressure of his unrewarding job, which eventually takes a toll on his health.",No encontrado,7.2,72
tt10837382,Ray LaMontagne and John Mayer Cover The Ally McBeal Theme Song,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,Null
tt13304556,The Plead,Dallas Ryan,Dallas Ryan,"A man is given one hour to plead for his life, but as things unfold, nothing is what it seems.",105,7.3," 82"
tt14753196,Honor Among Thieves,Joseph C. Grant Jr.,"Jevon Davis, Joseph C. Grant Jr.","Six friends adopt the dubious profession of ""grifting"" and ""scamming."" Vicky is a stripper that identifies her victims at work and devises elaborate plans with her brother Jackson to relieve them of their money and other personal possessions. High school senior Theodore ""Dribbles"" Johnson grapples with scamming, basketball and love. The story develops into a complex t... Leer todo",No encontrado,4.5," 91"
tt0411951,Tekken,Dwight H. Little,"Alan B. Mc, Elroy",Jin Kazama es testigo de la muerte de su madre Jun por parte de Tekken.,91,4.8," 0"
tt10432094,Pawns,Peter Jang,Peter Jang,Two crime syndicate leaders manipulate their best men to fight to the death as a means to avoid all out war.,10,No encontrado," 27"
tt1179025,Adèle y el misterio de la momia,Luc Besson,"Luc Besson, Jacques Tardi","En 1912, la periodista Adèle viaja a Egipto para hacerse con una momia. Su intención es encontrar la cura para su hermana, pero lo único que logra con su experimento es resucitar un huevo de pterodáctilo que provoca el pánico en París.",107,6.3," 85"
tt2076809,Black Guy on a Rampage: Angel of Death,Christopher Burns Jr.,"Janeen Avery, Mark Mendola, Adam R. Steigert","What started as a normal job for a crime lord quickly became personal and escalated into one man's war of vengeance. In this prequel to the grind-house short film ""Black Guy on a Rampage,"" our hero confronts Jackie Long, the man responsible for the death of his son. Long, a villainous tyrant celebrating his 40th birthday at a lavish party, was not prepared for this da... Leer todo",No encontrado,6.5," 23"
tt10814388,Help! My Girlfriend Is Literally Dying,Zack Bornstein,"Zack Bornstein, Sam Klemmer, Adam Wagner",No encontrado,No encontrado,No encontrado," 35"
tt10041250,The Beach House,Richard Naylor,"George Anthony Fox, Richard Naylor",James and Mike's plan to 'double propose' changes when they discover their girlfriends have a proposal of their own.,10,5.0," 81"
tt11120660,Bittersweet,Max Mir,Lorenzo Fedon,A hopeless baker's attempt at taking his own life is interrupted by a persistent child in need of a birthday cake.,14,8.6," 8"
tt11746688,Mostro,Jose Pablo Escamilla,Jose Pablo Escamilla,"Cuando Alexandra desaparece ante sus ojos, Lucas tiene que lidiar con un sistema corrupto. Sus perspectivas decaen, al igual que el monstruo que los aprisiona.",75,6.6," 97"
tt2094110,Sayonara Speed Tribes,Jamie Morris,No encontrado,"An aging Japanese bike gangster mentors a crop of halfhearted pledges threatened by police pressure. In doing so, he confronts his tough guy past and dwindling options for the future.",45,7.9,79
tt10054306,The Man Behind the Glass,Leona Abrahamian,Leona Abrahamian,This story reflects the perception that throughout our lives there is this barrier between who we are and who we want to be. The most important thing is to gain the courage to break the glass and truly embrace who we are no matter where we come from.,2,No encontrado," 80"
tt10195248,Alexander,Shaun Gonzalvo,Shaun Gonzalvo,"Who are you? It's a simple question, right? We are told from a young age how to act, how to move, not to cry and how to live. Alexander was told that he should be something that he is not. It's killing him, destroying all that he loves and he's feeling helpless to find a solution. Will he survive the internal torment or will he give up?",No encontrado,No encontrado," 16"
tt13569380,Iron Temple,Aaron M. Abelto,Aaron M. Abelto,"IFBB Pro Tony Torres built a lucrative lifestyle which came crashing down after covering for a friend who committed a murder. After being chased by the FBI he was sent to prison for five years. Once he did his time, Tony had to build back his life.",98,8.5," 100"
tt6020800,Gold,Anthony Hayes,"Anthony Hayes, Polly Smyth",Un viajero solitario descubre en el desierto la mayor pepita de oro jamás encontrada. Debe protegerla de los ladrones en medio de duras condiciones y perros salvajes mientras espera el regreso de su compañero.,97,5.4," 65"
tt10006270,Jagtsæson,Tilde Harkamp,"Claudia Boderke, Lars Mering","Single mom Eva goes on a weekend of hotel, sauna, bikini wax and pheasant hunting with her ex's cute, young girlfriend, Bella, and their married friend, Marlene, so she can have an affair there. Nothing goes as planned.",92,4.9," 57"
tt11612144,Koli Taal,Abhilash Shetty,Abhilash Shetty,"Excited about the grandson's visit, an elderly couple plan to cook chicken curry for dinner. But, things go awry when the chicken goes missing.",92,7.7," 100"
tt14070996,Hanging on to Love,Crystal Ellis,Crystal Ellis,Jewel cannot catch a break in the love department these days-she is failing in everything from her clothing design business to finding love.,No encontrado,3.5,Null
tt10326920,The Strange Life of Dame Paula Wilhelm,Jason McGhinnis,Scott Woodard,A short mockumentary which retraces the life of a strange woman who moved to the US from England after her traveling theatre company failed.,7,No encontrado," 76"
tt1946298,El francotirador,Michele Placido,Denis Brusseaux(dialogue)Cédric Melon(dialogue),Un detective busca al tirador que frustró el plan de atrapar a un notorio equipo de ladrones de bancos.,89,5.7," 72"
tt13610294,Evil Con Carne Reanimated Collab,No encontrado,No encontrado,No encontrado,7,No encontrado,Null
tt10832098,Roulette,Faton Millanaj,Faton Millanaj,,No encontrado,No encontrado,Null
tt10065228,Five Minutes a Day,Frederico Evaristo,"Frederico Evaristo, Bob Yang",No encontrado,10,5.9," 76"
tt11499506,La bestia,Ludovico Di Martino,"Claudia De Angelis, Ludovico Di Martino, Andrea Paris",Un solitario veterano de las Fuerzas Especiales libera su bestia interior mientras persigue a los secuestradores de su hija - y acaba convertido en sospechoso.,97,5.2," 68"
tt1524134,Orcs!,Andrew Black,"Anne K. Black, Jason Faller, Kynan Griffin","When marauding orcs invade a US National Park, our collective fates lie in the hands of Ranger Cal Robertson and his side-kick, Volunteer Cadet Hobie, who must stop the wave of destruction before the whole world is overrun.",78,3.7," 12"
tt10420886,Street Fighter 4 Play Expo Promo,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,Null
tt10063820,My Existential Crisis,Joseph Holmes,Joseph Holmes,A young woman struggling with her own mortality is followed everywhere she goes by The Grim Reaper.,4,No encontrado,Null
tt11142272,No encontrada,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado," 88"
tt11026788,yeh mard bechara,Anup Thapa,Anup Thapa,What defines a man? What are the societal norms that men face every day? Ye Mard Bechara reflects the stereotypes attached to manhood and gives a refreshing take on defining a man.,134,8.6,Null
tt11772858,Sound Mind: No Longer Home,Eli Bevins,"Eli Bevins, Lu Bevins",The world is on the brink of extinction as an impressionable girl makes a remarkable plea to Mother Earth.,No encontrado,No encontrado,Null
tt11459374,Prisoner,Andrew Sindt,Andrew Sindt,,20,8.2," 81"
tt10068922,Mirror Mirror,Thevin Kumar,Thevin Kumar,,5,No encontrado," 49"
tt10612478,Faking a Murderer,Stuart Stone,"Adam Rodness, Stuart Stone","En busca de su próxima serie exitosa, dos cineastas se embarcan en una investigación para encontrar a un hombre que creen que es un asesino en serie. ¿Están sobre sus cabezas? Sí.",96,4.9," 40"
tt11390878,Calibro 9,Toni D'Angelo,"Gianluca Curti, Marco Martani, Luca Poldelmengo","When 100 million euros disappear in a telematic fraud, and the prime suspect is Fernando Piazza's client, his name is set to be dangerously compromising. Especially if the frauded company is the 'ndrangheta mafia.",91,4.4," 100"
tt13875862,Wild Card,Jordan Wilson,Jordan Wilson,No encontrado,136,8.4," 32"
tt11512026,Waking Up,James Patrick Nelson,James Patrick Nelson,"When a young gay man visits his uncle in the hospital, he stumbles into an awkward ramble about sexual fantasies, which becomes a vulnerable confession about love and forgiveness.",12,7.6,Null
tt3102440,Borning: A todo gas,Hallvard Bræin,"Linn-Jeanethe Kyed, Christopher Grøndahl, Hallvard Bræin","Roy emprende el reto de participar en ""Street Legal"", una carrera ilegal de 2.000 kilómetros desde Oslo hasta Cabo Norte, mientras cuida de su hija.",89,6.2," 56"
tt13646316,Crazy Daisy,Jayesh Jaidka,Jayesh Jaidka,No encontrado,20,No encontrado,Null
tt15444472,Olimpo Andalucía,Paflo,"Elena Galindo, PafloÁlvaro Sastre","En una Andalucía neoquinqui plagada de superhéroes y villanos, los caminos de una pareja con fuerza sobrehumana y una organización criminal con tecnología superdesarrollada colisionan estrepitosamente.",No encontrado,No encontrado," 80"
tt10990902,The Pink Lotus,Qiyu Zhou,"A.P. Boland, Christina Yang",,No encontrado,No encontrado," 92"
tt12060242,Airborne,Brigham McNeely,"Steven Hancock, Brigham Mc, Neely","In the aftermath of a deadly virus that left millions dead, a young man looks to find his place in a world forever changed.",80,4.2," 31"
tt13563144,Game of Death,Bobby D'Buze,Bobby D'Buze,The Challenger fights his way through to the boss.,No encontrado,No encontrado," 58"
tt30134346,Finding Jane,Jane John-Nwankwo,Jane John-Nwankwo,No encontrado,66,No encontrado," 58"
tt12211494,The Quest for the Macguffin,Philip Tresente,"Harley Mann, Philip Tresente",Tyler has to find and defeat the evil Juaqman to regain the magical Macguffin.,10,No encontrado," 92"
tt16997558,The Assistant,Adrian Teh,"Chi-Ren Choong, Adrian Teh","Zafik is unjustly imprisoned and not pleased about it. When he is released, he gets the help of the unhinged Feroz to get revenge.",124,5.4," 93"
tt1474200,"Good Guys, Inc.",Jessica Dorfman,Jessica Dorfman,No encontrado,12,No encontrado," 71"
tt0847180,Loot,Rajnish Thakur,No encontrado,Four burglars end up stealing a vehicle from robbers as well as unknowingly breaking in the house of a notorious gangster.,110,3.5,Null
tt11799834,#BerhentiDiKamu,Indra Gunawan,"Gia Pratama, Bagus Bramanti",Doctor Gia searches for the meaning in life through extraordinary events in the ER where he works.,100,5.6,
tt13206286,The Devil's Ring,Juan Salas,No encontrado,"After a traumatic past, once-promising young boxing prospect Anthony Santiago (Alexander Luna) returns home from prison to seek redemption, only to catch the attention of big boxing promoter Mr. Deville (Damian Chapa) with a sinister reputation. After a deal gone wrong, the young boxer must now seek help from retired champion Roy DeSilva (Al Dias) in a literal fight f... Leer todo",95,5.9,Null
tt14369780,El amante de Lady Chatterley,Laure de Clermont-Tonnerre,"David Magee, D.H. Lawrence",Una aristócrata infelizmente casada comienza una tórrida aventura con el guardabosques de la finca de su marido.,126,6.6," 86"
tt10009614,Leaves,Pedro Tamames,Pedro Tamames,A girl spends her time eavesdropping on a young couple whose relationship is falling apart.,10,No encontrado," 67"
tt10021210,Forget Me Not,Sherry Rashidan,No encontrado,"First-time robber Liam breaks into the home of a confused elderly woman, Mrs. Green, who's suffering from dementia. Mrs. Green confuses Liam for her son. In order to save himself, Liam plays along as her son.",No encontrado,No encontrado," 69"
tt15352040,The Chinese Tourist,Nicole Wong,"Di Bei, Hallie Blakeslee, Jada Johnstone","Jade, a foreign exchange student, gets cut off from her boyfriend and goes through trials during her last semester of college, leading to revelations and new relationships.",120,No encontrado," 68"
tt1891970,Beyond the Trophy,Daniel J. Gillin,"Daniel J. Gillin, Michael Adam Hamilton","TROPHY tells the story of men's obsession with power and how far they will go to claim the ""PRIZE"". Two rival gangs in Los Angeles and Las Vegas, led by Gino (Robert Miano) and Cole (Michael Madsen), are vying for control. Danny (Michael Masini), an LAPD undercover police detective, goes deep into gangland to infiltrate one gang to bring down both. Along the way, he b... Leer todo",99,3.8," 33"
tt15162798,Black People Don't Tango,Robert Xavier Clark,Robert Xavier Clark,A man takes a journey after a horrible dance in Argentina.,No encontrado,No encontrado,Null
tt3381610,Breakdown,Jonnie Malachi,Jonnie Malachi,"A professional contract killer, haunted by visions of his violent past, spirals out of control. His work compromised as he reaches breaking point, he is forced to defend his family from his ruthless employers.",110,5.0," 83"
tt1582519,Khaleja,Trivikram Srinivas,"Trivikram Srinivas, Ravi Kiran","When a mysterious illness ravages a remote village, the villagers embrace a reluctant taxi driver as their savior.",170,7.6," 65"
tt13198440,Wo di 1000,Bowie Lau,"Chi-Hang Chan, Bowie Lau, Yim-Man Pang",,80,No encontrado," 22"
tt13478744,EL Clásico,No encontrado,No encontrado,,99,No encontrado,Null
